iter	Passed	Remaining
1024	10487	20207
1025	10488	20180
1026	10502	20176
1027	10510	20161
1028	10527	20165
1029	10529	20138
1030	10544	20138
1031	10546	20112
1032	10561	20110
1033	10577	20111
1034	10579	20085
1035	10594	20084
1036	10595	20057
1037	10597	20030
1038	10598	20004
1039	10604	19985
1040	10620	19985
1041	10624	19964
1042	10626	19939
1043	10628	19912
1044	10646	19917
1045	10662	19917
1046	10666	19895
1047	10672	19879
1048	10689	19880
1049	10707	19884
1050	10709	19860
1051	10712	19837
1052	10722	19825
1053	10732	19814
1054	10736	19794
1055	10739	19770
1056	10756	19772
1057	10757	19746
1058	10759	19720
1059	10777	19724
1060	10793	19724
1061	10809	19726
1062	10827	19730
1063	10830	19706
1064	10832	19680
1065	10833	19655
1066	10834	19628
1067	10848	19625
1068	10862	19620
1069	10863	19594
1070	10865	19570
1071	10878	19564
1072	10879	19538
1073	10883	19517
1074	10885	19492
1075	10886	19466
1076	10888	19441
1077	10892	19420
1078	10901	19408
1079	10915	19405
1080	10930	19403
1081	10942	19397
1082	10948	19379
1083	10960	19372
1084	10967	19357
1085	10969	19333
1086	10985	19332
1087	10986	19307
1088	11001	19305
1089	11003	19282
1090	11019	19281
1091	11023	19261
1092	11036	19256
1093	11038	19231
1094	11052	19228
1095	11054	19203
1096	11055	19178
1097	11057	19153
1098	11071	19150
1099	11073	19127
1100	11088	19125
1101	11104	19124
1102	11104	19098
1103	11120	19098
1104	11121	19073
1105	11138	19074
1106	11153	19072
1107	11155	19048
1108	11170	19046
1109	11171	19021
1110	11173	18998
1111	11176	18975
1112	11187	18967
1113	11199	18960
1114	11200	18935
1115	11203	18913
1116	11205	18889
1117	11207	18865
1118	11208	18840
1119	11227	18845
1120	11243	18845
1121	11260	18847
1122	11276	18848
1123	11293	18849
1124	11312	18853
1125	11315	18832
1126	11333	18835
1127	11349	18835
1128	11365	18834
1129	11366	18810
1130	11367	18785
1131	11372	18765
1132	11373	18741
1133	11388	18739
1134	11406	18743
1135	11412	18725
1136	11415	18704
1137	11430	18703
1138	11446	18701
1139	11447	18677
1140	11450	18656
1141	11467	18656
1142	11482	18656
1143	11498	18654
1144	11502	18634
1145	11512	18624
1146	11513	18599
1147	11529	18600
1148	11530	18575
1149	11537	18559
1150	11538	18535
1151	11550	18528
1152	11566	18528
1153	11583	18528
1154	11592	18518
1155	11606	18514
1156	11609	18492
1157	11622	18488
1158	11625	18465
1159	11639	18462
1160	11642	18441
1161	11644	18418
1162	11661	18420
1163	11677	18419
1164	11679	18395
1165	11695	18396
1166	11712	18396
1167	11714	18373
1168	11731	18374
1169	11751	18380
1170	11752	18356
1171	11754	18333
1172	11769	18332
1173	11786	18332
1174	11788	18309
1175	11789	18285
1176	11804	18282
1177	11805	18258
1178	11818	18254
1179	11820	18231
1180	11823	18210
1181	11826	18189
1182	11827	18166
1183	11844	18167
1184	11845	18143
1185	11863	18144
1186	11883	18149
1187	11889	18134
1188	11903	18130
1189	11904	18106
1190	11918	18102
1191	11919	18079
1192	11934	18076
1193	11935	18053
1194	11947	18046
1195	11962	18043
1196	11978	18042
1197	11994	18042
1198	12011	18042
1199	12028	18042
1200	12029	18019
1201	12030	17996
1202	12045	17993
1203	12061	17992
1204	12081	17997
1205	12100	17999
1206	12117	18000
1207	12134	18001
1208	12156	18008
1209	12157	17985
1210	12178	17991
1211	12180	17969
1212	12204	17979
1213	12226	17986
1214	12247	17993
1215	12251	17974
1216	12270	17976
1217	12290	17982
1218	12311	17986
1219	12331	17991
1220	12343	17983
1221	12344	17961
1222	12345	17938
1223	12358	17931
1224	12382	17942
1225	12392	17931
1226	12393	17908
1227	12412	17911
1228	12436	17921
1229	12456	17924
1230	12473	17925
1231	12491	17926
1232	12517	17938
1233	12522	17921
1234	12539	17920
1235	12558	17923
1236	12559	17900
1237	12566	17885
1238	12571	17867
1239	12574	17847
1240	12596	17854
1241	12615	17856
1242	12617	17834
1243	12618	17812
1244	12635	17811
1245	12654	17813
1246	12673	17815
1247	12692	17818
1248	12694	17796
1249	12703	17784
1250	12719	17783
1251	12721	17760
1252	12738	17760
1253	12755	17759
1254	12757	17738
1255	12773	17735
1256	12779	17720
1257	12792	17713
1258	12807	17710
1259	12810	17691
1260	12812	17668
1261	12828	17667
1262	12830	17645
1263	12845	17641
1264	12862	17641
1265	12876	17636
1266	12878	17614
1267	12893	17611
1268	12909	17609
1269	12927	17609
1270	12935	17597
1271	12955	17599
1272	12971	17598
1273	12974	17577
1274	12976	17556
1275	12977	17534
1276	12979	17513
1277	12983	17494
1278	12993	17483
1279	13008	17479
1280	13011	17460
1281	13012	17438
1282	13030	17438
1283	13037	17424
1284	13054	17422
1285	13055	17400
1286	13068	17394
1287	13084	17391
1288	13085	17369
1289	13087	17348
1290	13091	17330
1291	13093	17308
1292	13094	17287
1293	13111	17285
1294	13112	17264
1295	13114	17243
1296	13116	17222
1297	13138	17227
1298	13140	17207
1299	13159	17208
1300	13160	17186
1301	13162	17165
1302	13178	17163
1303	13180	17142
1304	13198	17142
1305	13201	17123
1306	13221	17125
1307	13237	17123
1308	13251	17118
1309	13253	17097
1310	13269	17095
1311	13270	17074
1312	13272	17052
1313	13286	17048
1314	13290	17029
1315	13292	17009
1316	13305	17003
1317	13310	16986
1318	13326	16983
1319	13327	16962
1320	13328	16940
1321	13329	16919
1322	13330	16897
1323	13331	16876
1324	13347	16872
1325	13361	16868
1326	13378	16866
1327	13383	16850
1328	13397	16844
1329	13399	16824
1330	13400	16803
1331	13412	16795
1332	13427	16792
1333	13431	16774
1334	13433	16753
1335	13446	16747
1336	13448	16727
1337	13449	16706
1338	13454	16690
1339	13467	16683
1340	13482	16679
1341	13496	16675
1342	13513	16672
1343	13527	16667
1344	13533	16652
1345	13544	16644
1346	13547	16624
1347	13548	16603
1348	13562	16598
1349	13577	16594
1350	13579	16574
1351	13595	16572
1352	13609	16567
1353	13619	16556
1354	13630	16547
1355	13635	16530
1356	13648	16525
1357	13662	16519
1358	13675	16513
1359	13676	16492
1360	13678	16472
1361	13692	16467
1362	13708	16464
1363	13723	16460
1364	13738	16455
1365	13752	16450
1366	13769	16448
1367	13783	16443
1368	13785	16423
1369	13798	16417
1370	13801	16399
1371	13808	16385
1372	13810	16364
1373	13811	16344
1374	13826	16340
1375	13845	16341
1376	13861	16337
1377	13866	16322
1378	13881	16317
1379	13898	16315
1380	13899	16294
1381	13902	16276
1382	13903	16256
1383	13921	16254
1384	13940	16255
1385	13960	16256
1386	13978	16255
1387	13995	16254
1388	13997	16234
1389	14014	16232
1390	14016	16212
1391	14035	16213
1392	14053	16212
1393	14057	16194
1394	14074	16193
1395	14076	16173
1396	14077	16153
1397	14092	16149
1398	14099	16134
1399	14112	16128
1400	14115	16110
1401	14130	16105
1402	14131	16085
1403	14146	16080
1404	14147	16060
1405	14162	16055
1406	14169	16042
1407	14170	16022
1408	14189	16021
1409	14191	16003
1410	14192	15983
1411	14207	15978
1412	14211	15961
1413	14225	15956
1414	14238	15949
1415	14254	15945
1416	14256	15926
1417	14260	15909
1418	14261	15889
1419	14274	15882
1420	14289	15878
1421	14306	15875
1422	14320	15870
1423	14339	15870
1424	14357	15868
1425	14370	15861
1426	14385	15857
1427	14405	15857
1428	14418	15851
1429	14420	15831
1430	14421	15811
1431	14435	15806
1432	14437	15787
1433	14450	15780
1434	14452	15761
1435	14467	15757
1436	14474	15743
1437	14475	15723
1438	14478	15705
1439	14493	15700
1440	14506	15694
1441	14518	15685
1442	14523	15670
1443	14534	15662
1444	14550	15658
1445	14567	15655
1446	14581	15650
1447	14598	15646
1448	14613	15642
1449	14628	15637
1450	14643	15632
1451	14656	15625
1452	14658	15606
1453	14670	15598
1454	14684	15592
1455	14699	15587
1456	14700	15568
1457	14702	15549
1458	14716	15543
1459	14732	15539
1460	14747	15534
1461	14756	15523
1462	14768	15515
1463	14781	15508
1464	14797	15504
1465	14799	15485
1466	14813	15480
1467	14815	15461
1468	14817	15442
1469	14830	15435
1470	14831	15416
1471	14846	15411
1472	14851	15395
1473	14852	15376
1474	14860	15364
1475	14874	15358
1476	14875	15339
1477	14893	15336
1478	14907	15331
1479	14920	15324
1480	14932	15315
1481	14941	15304
1482	14953	15296
1483	14955	15277
1484	14956	15258
1485	14970	15252
1486	14972	15233
1487	14985	15227
1488	14997	15219
1489	15001	15202
1490	15012	15194
1491	15029	15190
1492	15030	15171
1493	15045	15166
1494	15062	15163
1495	15064	15144
1496	15080	15140
1497	15096	15136
1498	15102	15122
1499	15103	15103
1500	15118	15097
1501	15133	15093
1502	15135	15075
1503	15143	15062
1504	15160	15059
1505	15163	15042
1506	15179	15038
1507	15182	15021
1508	15199	15018
1509	15201	15000
1510	15215	14993
1511	15233	14991
1512	15235	14973
1513	15236	14954
1514	15250	14948
1515	15251	14929
1516	15270	14928
1517	15285	14922
1518	15303	14920
1519	15323	14920
1520	15325	14902
1521	15344	14901
1522	15347	14884
1523	15366	14882
1524	15372	14868
1525	15373	14849
1526	15391	14847
1527	15393	14828
1528	15407	14823
1529	15427	14822
1530	15428	14804
1531	15445	14800
1532	15448	14783
1533	15463	14778
1534	15482	14776
1535	15497	14771
1536	15500	14753
1537	15501	14735
1538	15502	14716
1539	15518	14712
1540	15535	14708
1541	15552	14705
1542	15553	14686
1543	15569	14682
1544	15585	14677
1545	15587	14659
1546	15588	14641
1547	15589	14622
1548	15606	14619
1549	15611	14604
1550	15626	14598
1551	15635	14587
1552	15636	14569
1553	15655	14567
1554	15673	14565
1555	15694	14564
1556	15703	14553
1557	15704	14535
1558	15722	14532
1559	15734	14524
1560	15750	14519
1561	15768	14516
1562	15769	14497
1563	15787	14495
1564	15789	14477
1565	15804	14472
1566	15806	14454
1567	15807	14436
1568	15808	14418
1569	15810	14400
1570	15826	14395
1571	15834	14383
1572	15852	14380
1573	15874	14381
1574	15892	14378
1575	15910	14376
1576	15928	14372
1577	15931	14356
1578	15932	14338
1579	15951	14336
1580	15973	14336
1581	15978	14322
1582	15993	14315
1583	16011	14313
1584	16017	14299
1585	16035	14296
1586	16036	14278
1587	16053	14273
1588	16063	14264
1589	16064	14246
1590	16082	14243
1591	16083	14224
1592	16085	14207
1593	16088	14191
1594	16103	14185
1595	16105	14167
1596	16107	14150
1597	16109	14133
1598	16125	14128
1599	16134	14117
1600	16150	14112
1601	16169	14110
1602	16187	14106
1603	16209	14107
1604	16229	14105
1605	16254	14108
1606	16257	14092
1607	16278	14091
1608	16295	14087
1609	16297	14070
1610	16318	14069
1611	16338	14068
1612	16359	14067
1613	16361	14050
1614	16386	14052
1615	16387	14035
1616	16408	14034
1617	16428	14032
1618	16449	14031
1619	16470	14030
1620	16493	14030
1621	16511	14027
1622	16531	14025
1623	16536	14011
1624	16537	13993
1625	16541	13978
1626	16559	13974
1627	16560	13956
1628	16576	13951
1629	16592	13945
1630	16609	13941
1631	16626	13936
1632	16643	13932
1633	16660	13928
1634	16662	13911
1635	16677	13904
1636	16678	13887
1637	16693	13880
1638	16709	13875
1639	16726	13871
1640	16728	13853
1641	16744	13848
1642	16760	13843
1643	16777	13838
1644	16794	13833
1645	16810	13828
1646	16827	13823
1647	16843	13818
1648	16844	13800
1649	16861	13795
1650	16863	13778
1651	16879	13772
1652	16881	13756
1653	16883	13739
1654	16899	13733
1655	16915	13728
1656	16918	13712
1657	16932	13705
1658	16948	13699
1659	16961	13691
1660	16974	13683
1661	16975	13665
1662	16990	13659
1663	16991	13642
1664	17007	13637
1665	17009	13619
1666	17011	13603
1667	17026	13597
1668	17040	13589
